text,intent,product
hello,menu,Default
hi,menu,Default
hey,menu,Default
good morning,menu,Default
good evening,menu,Default
assalamualaikum,menu,Default
aoa,menu,Default
salam,menu,Default
help,menu,Default
need help,menu,Default
can you help me,menu,Default
show menu,menu,Default
main menu,menu,Default
what can you do,menu,Default
options please,menu,Default
guide me,menu,Default
start,menu,Default
restart,menu,Default
support please,menu,Default
hello bot,menu,Default
hey there,menu,Default
madad chahiye,menu,Default
menu dikhao,menu,Default
kya options hain,menu,Default
mujhe help chahiye,menu,Default
bot ho?,menu,Default
salam dost,menu,Default
kya scene hai,menu,Default
assist me,menu,Default
what services do you offer,menu,Default
show products,view_products,Default
view products,view_products,Default
show catalog,view_products,Default
catalog please,view_products,Default
show items,view_products,Default
what products do you have,view_products,Default
display products,view_products,Default
list products,view_products,Default
available products,view_products,Default
show inventory,view_products,Default
can i see your products,view_products,Default
browse products,view_products,Default
send catalog,view_products,Default
show all products,view_products,Default
items please,view_products,Default
what do you sell,view_products,Default
show your products,view_products,Default
available items,view_products,Default
let me see products,view_products,Default
products please,view_products,Default
catalog dikhao,view_products,Default
products dikhao,view_products,Default
items dikhao,view_products,Default
kya products hain,view_products,Default
stock dikhao,view_products,Default
mujhe catalog bhejo,view_products,Default
kya available hai,view_products,Default
products bhej do,view_products,Default
saman dikhao,view_products,Default
inventory bhejo,view_products,Default
how much is laptop,product_query,Laptop
laptop price,product_query,Laptop
price of laptop,product_query,Laptop
gaming laptop price,product_query,Laptop
office laptop price,product_query,Laptop
cheap laptop price,product_query,Laptop
best laptop price,product_query,Laptop
laptop kitne ka hai,product_query,Laptop
laptop ki price kya hai,product_query,Laptop
laptop ka rate kya hai,product_query,Laptop
price batao laptop ki,product_query,Laptop
mujhe laptop ki price chahiye,product_query,Laptop
laptop ki cost,product_query,Laptop
laptop ka price bata dein,product_query,Laptop
gaming laptop kitne ka hai,product_query,Laptop
how much does the laptop cost,product_query,Laptop
need laptop pricing,product_query,Laptop
can you tell me laptop price,product_query,Laptop
latest laptop price,product_query,Laptop
student laptop price,product_query,Laptop
how much is monitor,product_query,Monitor
monitor price,product_query,Monitor
hello,menu,Default
hi,menu,Default
hey,menu,Default
hii,menu,Default
helloo,menu,Default
hey there,menu,Default
hello there,menu,Default
hi there,menu,Default
good morning,menu,Default
good evening,menu,Default
good afternoon,menu,Default
good night,menu,Default
hey bro,menu,Default
hello bro,menu,Default
hi bro,menu,Default
hey buddy,menu,Default
hello buddy,menu,Default
salam,menu,Default
assalamualaikum,menu,Default
aoa,menu,Default
walaikum salam,menu,Default
salam bro,menu,Default
salam dost,menu,Default
kya haal hai,menu,Default
kya scene hai,menu,Default
kya chal raha hai,menu,Default
sab theek?,menu,Default
how are you,menu,Default
how r u,menu,Default
what's up,menu,Default
wassup,menu,Default
yo,menu,Default
hey yo,menu,Default
hello bhai,menu,Default
hi bhai,menu,Default
price of monitor,product_query,Monitor
gaming monitor price,product_query,Monitor
curved monitor price,product_query,Monitor
monitor kitne ka hai,product_query,Monitor
monitor ki price kya hai,product_query,Monitor
monitor ka rate kya hai,product_query,Monitor
price batao monitor ki,product_query,Monitor
mujhe monitor ki price chahiye,product_query,Monitor
monitor ki cost,product_query,Monitor
monitor ka price bata dein,product_query,Monitor
monitor ka price bata dein,product_query,Monitor
gaming monitor chahiye,product_query,Monitor
cheap monitor dikhao,product_query,Monitor
144hz monitor available hai?,product_query,Monitor
office monitor hai?,product_query,Monitor

headphone ki price kya hai?,product_query,Headphone
wireless headphones chahiye,product_query,Headphone
gaming headset available hai?,product_query,Headphone
sony headphones hain?,product_query,Headphone
